,fields
819,rc427i
12128,rc427j
11126,rc427k
6344,rc427l
11325,rc428
10912,rc429
6407,rc430a
20244,rc430b
18755,rc430c
10462,rc430d
12915,rc430e
4719,rc430f
10005,rc430g
7212,rc430h
9940,rc430i
616,rc430ne
19129,rc431
4235,rc432
1387,rc433a
388,rc433b
7194,rc433c
10743,rc433d
20882,rc433e
8760,rc433f
5928,rc433g
14832,rc433h
2797,rc433i
2482,rc433j
6898,rc433k
14929,rc433ne
16102,rc434
3399,rc435
11875,rc436a
4305,rc436b
12867,rc436c
11117,rc436d
7962,rc436e
11853,rc436f
7680,rc436g
17057,rc436h
13419,rc436i
6722,rc436j
17086,rc436k
15225,rc436ne
1931,rc501
1623,rc502
12088,rc515
7644,rc516
10441,rc517a
14671,rc517b
10362,rc517c
12158,rc517d
16165,rc523
3604,rc524
20342,rc611f
18871,rc611g
3989,rc710
20533,rc718
9135,rc719a
10596,rc719b
9955,rc719c
14989,rc719d
11709,rc719e
9154,rc719f
20094,rccomm
10417,rcconces
3169,rcpref
16545,rcstrate
2027,rec94idx
8865,rv1
18223,rv1d
21485,rv1m
13279,rv1x
4278,rv1y
11826,rv2
14792,rv2d
13193,rv2m
7220,rv2x
11413,rv2y
19438,rv3
13296,rv3d
8624,rv3m
20141,rv3y
13385,s001
8550,s002
4396,s003
11588,s003a
17855,s003b
5197,s004
17217,s005
5570,s006
5430,s007
5997,s007a
6989,s007b
504,s007c
8963,s007d
16506,s007e
49,s007f
17642,s007g
8238,s016
18391,s017
20102,s019
14919,s02
11925,s020d
21213,s020e
3207,s020f
11018,s021
6315,s022
18494,s022b
15398,s022c
4945,s023
21462,s024a
17067,s024b
17400,s024c
10260,s025
18384,s026
19028,s026a
14957,s027
18281,s028
8118,s028d
12191,s029
8688,s03
15792,s031
12982,s034
10095,s035
452,s035b
1244,s035c
2991,s036
3128,s037
17773,s038
20754,s04
12522,s040
500,s041
8063,s042a
12081,s042b
1784,s042c
7745,s042x
19508,s042y
2829,s042z
15423,s043
9663,s044
1923,s044d
1100,s045a
12116,s045b
13702,s045d
21385,s045e
5806,s045f
9823,s046
10828,s046d
14778,s046e
2848,s047c
19196,s048
6389,s049a
3098,s049b
895,s049d
5065,s049e
15045,s049f
16745,s049x
1233,s05
20213,s050d
5232,s050f
529,s050g
12380,s051
7413,s051a
21679,s051b
10806,s051d
11908,s051e
4521,s051f
21492,s051g
94,s051h
13910,s051i
11788,s051j
16684,s051k
12807,s052
9003,s052d
2968,s052e
7030,s053
11725,s06
9073,s065a
13373,s065b
3728,s06h1
18378,s06h1d
18456,s06h1m
8420,s06h1y
6951,s06h2
10436,s06h2d
14526,s06h2m
235,s06h2y
3670,s06h3
9907,s06h3d
8845,s06h3m
92,s06h3y
16900,s07f
13352,s07g
9997,s08d
11478,s1
18952,s10
21593,s1000a
12206,s1000b
19364,s1000c
13183,s1000ca
8470,s1000cb
4587,s1000cc
17757,s1000cd
8583,s1000ce
10793,s1000cf
15614,s1000cx
